 Cloud Cover High [high cld lay], Direct Shortwave Radiation, FAO Reference Evapotranspiration [2 m], Relative Humidity [2 m], Relative Humidity [2 m]_1, Relative Humidity [2 m]_2, Soil Moisture [28-100 cm down], Soil Moisture [28-100 cm down]_10, Soil Moisture [28-100 cm down]_9, Soil Moisture [7-28 cm down], Soil Moisture [7-28 cm down]_7, Soil Moisture [7-28 cm down]_8, Soil Temperature [100-255 cm down], Soil Temperature [100-255 cm down]_3, Soil Temperature [100-255 cm down]_4, Temperature, Temperature [2 m elevation corrected], Temperature [2 m elevation corrected]_1, Temperature [2 m elevation corrected]_2, Temperature_5, Temperature_6, Vapor Pressure Deficit [2 m], Vapor Pressure Deficit [2 m]_1, Vapor Pressure Deficit [2 m]_2,Incendio
21.708334,4427,3.9363072,86.83999,20.899342,58.054897,0.199,0.19883329,0.197,0.164,0.164,0.16400002,15.68,15.68,15.679996,36.21,24.359104,8.869105,15.3236885,4.53,15.680416,21.130634,1.4033127,8.146552,0
51.333332,4102,3.664968,79.29382,33.402004,59.07037,0.198,0.19758332,0.197,0.165,0.164,0.1645,15.69,15.68,15.685834,35.46,21.739105,11.449105,15.884106,5.62,16.290833,15.144883,2.518343,7.1682773,0
50.041668,3667,3.3599687,86.15308,39.351868,64.19406,0.199,0.1980833,0.198,0.166,0.164,0.16416667,15.69,15.69,15.6900015,32.82,21.489105,9.579105,14.248688,5.6,15.205417,13.57928,1.479435,5.8257847,0
38.291668,4454,4.0227447,81.70494,13.834921,53.650494,0.2,0.19908327,0.199,0.167,0.166,0.16608329,15.7,15.69,15.698337,33.12,23.589106,11.309105,15.634106,4,15.783333,21.96121,2.1373138,8.631444,0
52.791668,2894,3.2670906,70.59058,35.206676,51.528072,0.201,0.20004165,0.2,0.167,0.166,0.16641662,15.71,15.7,15.703747,33.5,20.249105,9.289105,14.658688,4.48,14.609581,13.425833,2.9716077,7.4287853,0
56.458332,1982,2.2701747,81.76278,52.350582,67.93744,0.201,0.1995833,0.199,0.172,0.166,0.167,15.71,15.71,15.709999,19.43,16.639105,10.489105,13.503689,6.97,11.775417,7.5818586,2.1319904,4.4868903,0
30.333334,3633,3.2947624,91.14488,38.236893,70.54016,0.203,0.20166665,0.201,0.179,0.172,0.17495833,15.72,15.72,15.72,31.63,20.469105,8.679106,12.92744,5.96,14.214166,12.975774,0.89413357,4.6754932,0
68.958336,3397,3.3739924,90.23893,35.62278,67.2051,0.203,0.20241664,0.202,0.182,0.179,0.17987502,15.72,15.72,15.72,31.47,21.319105,8.989105,13.947022,4.84,14.262084,14.262554,0.96622944,5.5228477,0
9.333333,4725,3.9485261,93.26643,29.056084,63.17644,0.202,0.20150001,0.201,0.186,0.182,0.18416663,15.72,15.72,15.72,32.77,23.339106,6.479105,14.611187,2.1,14.405416,17.806915,0.56018496,6.7374196,0
10.875,5055,4.2058682,82.19676,26.901476,53.739826,0.203,0.20258337,0.202,0.188,0.185,0.18629171,15.72,15.71,15.717498,34.14,23.029104,6.7991056,14.876187,2.05,14.455415,17.457348,1.5145912,8.196555,0
7.4583335,5760,4.7152743,78.83687,10.179606,46.099674,0.205,0.20300001,0.202,0.189,0.182,0.18829165,15.71,15.71,15.709999,34.72,25.459105,6.7591057,15.590771,0.48,14.4075,24.7791,1.7954121,10.456655,0
1.7083334,5839,5.132859,61.976624,10.559661,34.45058,0.208,0.20524998,0.205,0.183,0.182,0.18208331,15.71,15.71,15.709999,37.15,26.829105,7.1991053,16.518686,0.49,14.705418,26.933199,3.32621,12.891963,1
8.083333,5331,4.7486186,65.11503,12.81206,41.341633,0.208,0.208,0.208,0.183,0.183,0.18300003,15.71,15.71,15.709999,38.02,25.869104,7.389105,16.266607,0.32,15.247082,25.519194,3.4145246,11.221272,0
10.875,5379,4.590136,80.99243,13.148973,46.30917,0.208,0.20733328,0.206,0.183,0.181,0.18270834,15.71,15.7,15.704169,38.46,26.139105,8.099105,16.352022,2.95,16.65,25.83646,1.7697582,10.658889,0
6.5833335,5477,4.747458,75.095985,13.464312,44.689407,0.206,0.20591669,0.205,0.181,0.179,0.18083332,15.71,15.7,15.700836,40.57,27.489105,7.529105,17.103271,2.34,16.937082,27.502354,2.2290692,11.712566,1
